"old_id","new_id"
"1_1005_180",495
"1_1005_190",496
"1_1005_20",497
"1_1005_200",498
"1_1005_210",499
"1_1005_220",500
"1_1005_230",501
"1_1005_240",502
"1_1005_250",503
"1_1005_260",504
"1_1005_270",505
"1_1005_280",506
"1_1005_290",507
"1_1005_30",508
"1_1005_300",509
"1_1005_40",510
"1_1005_50",511
"1_1005_60",512
"1_1005_70",513
"1_1005_80",514
"1_1005_90",515
"1_1006_10",516
"1_1006_20",517
"1_1006_30",518
"1_1006_40",519
"1_1006_50",520
"1_1006_60",521
"1_1007_10",522
"1_1007_100",523
"1_1007_110",524
"1_1007_20",525
"1_1007_30",526
"1_1007_4",527
"1_1007_40",528
"1_1007_5",529
"1_1007_50",530
"1_1007_60",531
"1_1007_70",532
"1_1007_80",533
"1_1007_90",534
"1_1008_10",535
"1_1008_20",536
"1_1008_30",537
"1_1008_40",538
"1_1008_50",539
"1_1008_60",540
"1_1008_70",541
"1_1008_80",542
"1_1009_10",543
"1_1009_20",544
"1_1009_30",545
"1_1009_40",546
"1_1009_50",547
"1_1009_60",548
"1_1010_10",549
"1_1012_10",550
"1_1012_20",551
"1_1012_30",552
"1_1012_40",553
"1_1012_50",554
"1_1013_10",555
"1_1013_20",556
"1_1013_30",557
"1_1013_40",558
"1_1013_50",559
"1_1013_60",560
"1_1014_10",561
"1_1014_100",562
"1_1014_110",563
"1_1014_120",564
"1_1014_20",565
"1_1014_30",566
"1_1014_40",567
"1_1014_50",568
"1_1014_60",569
"1_1014_70",570
"1_1014_80",571
"1_1014_90",572
"1_1015_100",573
"1_1015_110",574
"1_1015_12",575
"1_1015_130",576
"1_1015_140",577
"1_1015_150",578
"1_1015_160",579
"1_1015_170",580
"1_1015_180",581
"1_1015_190",582
"1_1015_2",583
"1_1015_20",584
"1_1015_200",585
"1_1015_210",586
"1_1015_220",587
"1_1015_230",588
"1_1015_240",589
"1_1015_250",590
"1_1015_30",591
"1_1015_40",592
"1_1015_50",593
"1_1015_60",594
"1_1015_70",595
"1_1015_80",596
"1_1015_90",597
"1_1016_102",598
"1_1016_112",599
"1_1016_12",600
"1_1016_122",601
"1_1016_132",602
"1_1016_142",603
"1_1016_22",604
"1_1016_32",605
"1_1016_42",606
"1_1016_52",607
"1_1016_62",608
"1_1016_72",609
"1_1016_82",610
"1_1016_92",611
"1_1017_10",612
"1_1017_20",613
"1_1017_30",614
"1_1017_40",615
"1_1017_50",616
"1_1017_60",617
"1_1017_70",618
"1_1017_80",619
"1_1017_90",620
"1_1018_10",621
"1_1018_70",622
"1_1018_80",623
"1_1018_90",624
"1_1019_10",625
"1_1019_100",626
"1_1019_110",627
"1_1019_120",628
"1_1019_130",629
"1_1019_20",630
"1_1019_30",631
"1_1019_40",632
"1_1019_50",633
"1_1019_60",634
"1_1019_70",635
"1_1019_80",636
"1_1019_90",637
"1_1020_10",638
"1_1020_100",639
"1_1020_110",640
"1_1020_120",641
"1_1020_130",642
"1_1020_140",643
"1_1020_152",644
"1_1020_20",645
"1_1020_30",646
"1_1020_40",647
"1_1020_50",648
"1_1020_60",649
"1_1020_70",650
"1_1020_80",651
"1_1020_90",652
"1_1021_10",653
"1_1021_20",654
"1_1021_30",655
"1_1023_10",656
"1_2001_10",657
"1_2001_100",658
"1_2001_110",659
"1_2001_120",660
"1_2001_130",661
"1_2001_140",662
"1_2001_150",663
"1_2001_160",664
"1_2001_170",665
"1_2001_180",666
"1_2001_190",667
"1_2001_20",668
"1_2001_200",669
"1_2001_210",670
"1_2001_220",671
"1_2001_230",672
"1_2001_30",673
